subject	species	count
Biochemistry	Thermobifida fusca	1.000000
Biochemistry	Thermacetogenium phaeum	1.000000
Biochemistry	The Millers	1.000000
Biochemistry	Thalassophryne nattereri	1.000000
Biochemistry	Thalassiosira eccentrica	1.000000
Biochemistry	Tapes japonica	1.000000
Biochemistry	T. zilligii	1.000000
Biochemistry	T. yao	1.000000
Biochemistry	T. vulpecula	1.000000
Biochemistry	T. volcanium	1.000000
Biochemistry	T. viride	1.000000
Biochemistry	T. virens	1.000000
Biochemistry	T. stipitatus	1.000000
Biochemistry	T. stejnegeri	1.000000
Biochemistry	T. scripta elegans	1.000000
Biochemistry	T. rubripes	1.000000
Biochemistry	T. primitia	1.000000
Biochemistry	T. pallidum	1.000000
Biochemistry	T. kodakarensis	1.000000
Biochemistry	T. inflatum	1.000000
Biochemistry	T. dubium	1.000000
Biochemistry	T. calophylla	1.000000
Biochemistry	T. boehlkei	1.000000
Biochemistry	T. albus	1.000000
Biochemistry	T. adspersus	1.000000
Biochemistry	Sylvia borin	1.000000
Biochemistry	Sulfurimonas denitrificans	1.000000
Biochemistry	Sulfolobus shibatae	1.000000
Biochemistry	Streptomyces scabiei	1.000000
Biochemistry	Streptomyces platensis	1.000000
Biochemistry	Streptomyces olivaceoviridis	1.000000
Biochemistry	Streptomyces avidinii	1.000000
Biochemistry	Streptomyces aureofaciens	1.000000
Biochemistry	Streptococcus faecalis	1.000000
Biochemistry	Streptococcus anginosus	1.000000
Biochemistry	Sterculia foetida	1.000000
Biochemistry	Steinernema feltiae	1.000000
Biochemistry	Staphylothermus marinus	1.000000
Biochemistry	Staphylococcus warneri	1.000000
Biochemistry	Staphylococcus pasteuri	1.000000
Biochemistry	Staphylococcus haemolyticus	1.000000
Biochemistry	Stackebrandtia nassauensis	1.000000
Biochemistry	Spotted estuary rig	1.000000
Biochemistry	Spodoptera littoralis	1.000000
Biochemistry	Spikefish	1.000000
Biochemistry	Sphingomonas capsulata	1.000000
Biochemistry	Sperm Whale	1.000000
Biochemistry	Sorghum bicolor	1.000000
Biochemistry	Solanum tuberosum	1.000000
Biochemistry	Smittium culicis	1.000000
Biochemistry	Sitobion avenae	1.000000
Biochemistry	Sinorhizobium kummerowiae	1.000000
Biochemistry	Simkania negevensis	1.000000
Biochemistry	Sidewinder	1.000000
Biochemistry	Siberian chipmunks	1.000000
Biochemistry	Short-furred Dasyure	1.000000
Biochemistry	Shinella granuli	1.000000
Biochemistry	Shewanella amazonensis	1.000000
Biochemistry	Sharks	1.000000
Biochemistry	Senna septemtrionalis	1.000000
Biochemistry	Scybalocanthon aereus	1.000000
Biochemistry	Schizosaccharomyces japonicus	1.000000
Biochemistry	Scedosporium prolificans	1.000000
Biochemistry	Scalys	1.000000
Biochemistry	Savannah Monitors	1.000000
Biochemistry	Sarcoptes scabiei	1.000000
Biochemistry	Sarcophilus harrisii	1.000000
Biochemistry	Salt-water snakes	1.000000
Biochemistry	Salmonella enteritidis	1.000000
Biochemistry	Saccharopolyspora erythraea	1.000000
Biochemistry	Saccharomyces kluyveri	1.000000
Biochemistry	Sable	1.000000
Biochemistry	S. woodyi	1.000000
Biochemistry	S. thermoviolaceus	1.000000
Biochemistry	S. thermophilum	1.000000
Biochemistry	S. sonnei	1.000000
Biochemistry	S. sclerotiorum	1.000000
Biochemistry	S. schleiferi	1.000000
Biochemistry	S. schenckii	1.000000
Biochemistry	S. rostrata	1.000000
Biochemistry	S. pratensis	1.000000
Biochemistry	S. pomeroyi	1.000000
Biochemistry	S. parasanguinis	1.000000
Biochemistry	S. octosporus	1.000000
Biochemistry	S. nonagrioides	1.000000
Biochemistry	S. microadriaticum	1.000000
Biochemistry	S. melanotheron	1.000000
Biochemistry	S. litura	1.000000
Biochemistry	S. lipocalidus	1.000000
Biochemistry	S. lewini	1.000000
Biochemistry	S. invicta	1.000000
Biochemistry	S. hygroscopicus	1.000000
Biochemistry	S. hominis	1.000000
Biochemistry	S. granularis	1.000000
Biochemistry	S. graminum	1.000000
Biochemistry	S. glossinidius	1.000000
Biochemistry	S. globisporus	1.000000
Biochemistry	S. discus	1.000000
Biochemistry	S. denitrificans	1.000000
Biochemistry	S. cynthia	1.000000
Biochemistry	S. costus	1.000000
Biochemistry	S. costatum	1.000000
Biochemistry	S. commune	1.000000
Biochemistry	S. citri	1.000000
Biochemistry	S. cereale	1.000000
Biochemistry	S. capitis	1.000000
Biochemistry	S. bullata	1.000000
Biochemistry	S. beecheyi	1.000000
Biochemistry	S. antibioticus	1.000000
Biochemistry	S. ambofaciens	1.000000
Biochemistry	S. aciditrophicus	1.000000
Biochemistry	Rubrivivax gelatinosus	1.000000
Biochemistry	Rhodovulum sulfidophilum	1.000000
Biochemistry	Rhodothermus marinus	1.000000
