subject	article	doi	interaction:001:predatorprey	interaction:002:symbiosis	interaction:003:mutualism	interaction:004:commensalism	interaction:005:parasitism	interaction:006:affecting	interaction:007:competition	interaction:008:amensalism	interaction:009:antagonism	interaction:010:facilitation	interaction:011:exclusion	interaction:012:invasion	interaction:013:pollination	interaction:014:eating	interaction:015:interaction	interaction:016:herbivory	interaction:017:detritivory	interaction:018:scavenging	interaction:019:poisoning	interaction:020:limiting	interaction:021:mating	interaction:022:hybridising	interaction:023:host	interaction:024:relationship	interaction:025:killing	interaction:026:attacking	interaction:027:impairing
Biochemistry	PLoS_One_2011_Apr_5_6(4)_e18171	10.1371/journal.pone.0018171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One-5-5-2872681	10.1371/journal.pone.0010704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One-5-7-2912373	10.1371/journal.pone.0011884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Aug_25_6(8)_e24044	10.1371/journal.pone.0024044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One-5-8-2924883	10.1371/journal.pone.0012207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One-5-8-2924881	10.1371/journal.pone.0012206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Jun_9_6(6)_e20709	10.1371/journal.pone.0020709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Mar_25_6(3)_e18076	10.1371/journal.pone.0018076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Apr_13_6(4)_e18764	10.1371/journal.pone.0018764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2010_Dec_29_5(12)_e15795	10.1371/journal.pone.0015795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2010_Oct_14_5(10)_e13404	10.1371/journal.pone.0013404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2009_Aug_10_4(8)_e6567	10.1371/journal.pone.0006567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Apr_26_6(4)_e19194	10.1371/journal.pone.0019194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2010_Oct_14_5(10)_e13402	10.1371/journal.pone.0013402	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2010_Aug_11_5(8)_e12030	10.1371/journal.pone.0012030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Aug_29_6(8)_e24150	10.1371/journal.pone.0024150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Aug_12_6(8)_e23353	10.1371/journal.pone.0023353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2010_Sep_3_5(9)_e12258	10.1371/journal.pone.0012258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_May_9_6(5)_e19388	10.1371/journal.pone.0019388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Apr_27_6(4)_e19258	10.1371/journal.pone.0019258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One-5-9-2931708	10.1371/journal.pone.0012524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Jun_10_6(6)_e21071	10.1371/journal.pone.0021071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2009_Aug_3_4(8)_e6476	10.1371/journal.pone.0006476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2009_Aug_3_4(8)_e6477	10.1371/journal.pone.0006477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Jun_20_6(6)_e21231	10.1371/journal.pone.0021231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_May_24_6(5)_e19791	10.1371/journal.pone.0019791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_May_5_6(5)_e19647	10.1371/journal.pone.0019647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_May_16_6(5)_e19689	10.1371/journal.pone.0019689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE-3-8-2516325	10.1371/journal.pone.0003045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE_2008_Mar_5_3(3)_e1747	10.1371/journal.pone.0001747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Jun_1_6(6)_e20478	10.1371/journal.pone.0020478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Jul_28_6(7)_e22767	10.1371/journal.pone.0022767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One-4-12-2791418	10.1371/journal.pone.0008279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Jun_27_6(6)_e21425	10.1371/journal.pone.0021425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One-4-8-2715099	10.1371/journal.pone.0006486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_May_18_6(5)_e19444	10.1371/journal.pone.0019444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2011_Jul_6_6(7)_e21880	10.1371/journal.pone.0021880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_One_2010_Nov_3_5(11)_e15394	10.1371/journal.pone.0015394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biochemistry	PLoS_ONE-2-10-2040519	10.1371/journal.pone.0001118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
